X,Y,Z,Magnitud,Heading
28.18,20.64,-1.33,34.95,36.21
26.82,17,3.88,31.99,32.37
26.82,13.82,6.22,30.8,27.26
26.64,14.18,6.02,30.77,28.03
24.55,15.36,7.04,29.8,32.04
25.27,18.36,4.29,31.53,36
24.64,22.64,1.22,33.48,42.58
26.91,26.27,-10,38.91,44.31
32.45,21.82,-24.08,45.93,33.91
33.55,18.18,-31.12,49.24,28.46
33.55,13.64,-36.63,51.51,22.12
33.91,1.64,-44.08,55.64,2.76
32.55,-5.82,-46.33,56.91,349.86
33.09,-13.45,-44.29,56.9,337.87
31.55,-16.09,-44.29,56.7,332.97
31.36,-19.91,-42.14,56.18,327.59
30.36,-22.09,-40.41,55.16,323.96
29.64,-19.91,-44.18,56.81,326.11
29.09,-8.82,-49.9,58.43,343.14
29.09,-2.27,-49.59,57.54,355.53
29.36,7.82,-45.92,55.06,14.91
30.18,16.09,-37.96,51.1,28.06
29.82,20.73,-32.55,48.77,34.8
30,23.45,-22.96,44.47,38.02
30,23.73,-16.94,41.83,38.34
30,23,-10.61,39.26,37.48
29.64,21.27,-5.2,36.85,35.67
29.45,19.09,-2.24,35.17,32.95
29.36,17.64,-0.31,34.25,30.99
29.27,16.73,0.82,33.72,29.74
29.73,20.82,-5,36.63,35
30.27,23.91,-14.29,41.14,38.3
31.18,22,-25.82,46.07,35.2
32.18,17.73,-32.86,49.29,28.85
31.82,11.64,-40.92,53.12,20.09
30.91,3.27,-46.12,55.62,6.04
30.64,-3.09,-48.06,57.08,354.24
31.45,-2.64,-47.04,56.65,355.21
33.27,-4.73,-45,56.16,351.91
31.91,-7.82,-47.14,57.46,346.23
29.64,-18.64,-44.69,56.77,327.84
25.45,-26.36,-42.65,56.23,313.99
22.18,-28.09,-43.27,56.15,308.3
26,-27.27,-39.9,54.88,313.63
31.45,-26,-30,50.65,320.42
33.64,-24,-21.84,46.74,324.49
33.82,-22.18,-15,43.14,326.74
32,-22.82,-11.94,41.08,324.51
31.64,-22.45,-10.41,40.17,324.63
32.45,-23.18,-14.18,42.33,324.46
33.27,-24.36,-25.92,48.71,323.79
27.36,-26.73,-37.76,53.75,315.67
20.45,-28.55,-43.37,55.8,305.62
17.09,-28.73,-45.31,56.3,300.75
12,-29,-47.04,56.55,292.48
9.18,-28.91,-47.35,56.23,287.62
6.27,-28.55,-47.76,55.99,282.39
3.55,-28.45,-47.45,55.44,277.1
1,-28.27,-46.84,54.72,272.03
-1.18,-28.36,-45.71,53.81,267.61
-4,-28.27,-44.8,53.12,261.95
-6,-27.91,-43.47,52,257.87
-6.91,-28.27,-42.55,51.55,256.27
-8.73,-29.18,-39.18,49.63,253.35
-9.36,-28.55,-38.98,49.21,251.84
-11.55,-28.36,-36.63,47.75,247.85
-15.09,-26.82,-32.76,44.94,240.63
-17.18,-25.82,-25.41,40.09,236.36
-17.36,-25.45,-22.45,38.12,235.7
-19.82,-22.91,-22.04,37.46,229.14
-20.36,-20.73,-15.92,33.13,225.51
-17,-21.82,-9.18,29.14,232.08
-15.82,-20.18,-4.69,26.07,231.91
-15.64,-14.18,0.51,21.12,222.21
-9.91,-11.73,7.35,17.02,229.8
-1.55,-8.45,12.55,15.21,259.64
5.27,-8.91,12.96,16.59,300.62
9.27,-11,12.04,18.76,310.13
15.91,-10.45,11.53,22.26,326.69
21.55,-9.18,9.69,25.35,336.92
27.09,-9.82,5.71,29.38,340.08
30.18,-10.91,2.65,32.2,340.13
33.09,-13.18,-3.16,35.76,338.28
33.64,0.73,1.53,33.68,1.24
30,12.45,2.65,32.59,22.55
34.91,5.91,-2.04,35.46,9.61
37.45,-4.27,-6.63,38.28,353.49
36.18,-16.09,-12.76,41.6,336.02
35.73,-18.09,-15.82,43.06,333.14
37.55,-16.18,-19.59,45.34,336.68
36.91,-18.18,-26.43,48.9,333.77
34,-21.91,-31.63,51.35,327.2
28.09,-26.55,-37.35,53.75,316.62
29.36,-25.64,-36.63,53.49,318.88
34.82,-22.55,-25.82,48.86,327.08
36.36,-18.91,-16.43,44.16,332.53
36.82,-13.64,-10.1,40.54,339.68
33.09,5.27,2.24,33.58,9.05
24.18,15.91,6.53,29.67,33.34
6.36,22.09,8.78,24.61,73.93
0.64,19.55,9.9,21.92,88.14
-3.73,19,8.88,21.3,101.1
-13.64,8.36,7.65,17.73,148.48
-14.09,-14.45,2.24,20.31,225.73
-9.18,-24.18,-3.06,26.05,249.21
-8.73,-21.18,1.12,22.94,247.61
-6.45,-24.64,-1.43,25.51,255.32
1.55,-29.27,-4.08,29.6,273.02
11,-29.91,-5,32.26,290.19
15,-25.73,0,29.78,300.24
17.18,-25.18,-0.2,30.49,304.31
24.18,-21.36,-0.51,32.27,318.54
