x,y,z,,
-6.18,3,12.76,14.49,154.11
-6.82,-3.82,11.94,14.27,209.25
-7.82,-5.18,10.82,14.32,213.54
-7.45,-8.36,10.1,15.09,228.29
-1.45,-13.27,10,16.68,263.75
0.55,-12.73,11.02,16.84,272.45
2.27,-12.36,11.53,17.06,280.42
4.64,-13.45,11.33,18.19,289.01
6.64,-15.82,10.31,20.01,292.76
9.64,-15.73,9.69,20.84,301.5
12.64,-18.18,7.86,23.49,304.8
12.36,-27.64,-1.84,30.33,294.1
9.55,-30.09,-5.2,31.99,287.6
7.91,-32.73,-10,35.12,283.59
5.82,-34.27,-13.88,37.43,279.63
-0.55,-33.27,-13.67,35.98,269.06
-3.55,-32.55,-14.08,35.64,263.78
-4.64,-33.09,-17.14,37.56,262.02
-8.82,-31.27,-30.61,44.64,254.25
-11.18,-28.18,-36.22,47.24,248.36
-11.09,-25,-41.02,49.3,246.08
-12.09,-19.18,-45.71,51.03,237.78
-12.82,-14.45,-47.96,51.7,228.43
-12.36,-10.27,-49.39,51.94,219.72
-12.09,-11.18,-49.8,52.45,222.76
-14.45,-2.27,-48.27,50.43,188.94
-14.18,5.55,-46.22,48.67,158.64
-15.18,8.27,-44.08,47.35,151.41
-12.73,13.09,-43.37,47.05,134.19
-11.45,12.82,-44.49,47.7,131.78
-14.73,11.82,-42.45,46.46,141.25
-14,19.45,-35.31,42.67,125.74
-11.91,25.45,-26.63,38.72,115.07
-5.09,30.09,-20,36.49,99.6
-3.36,31.27,-15,34.85,96.14
-9.36,28,-8.16,30.63,108.49
-10.36,24.91,-2.14,27.06,112.59
-13.64,18.64,1.63,23.15,126.19
-10.73,16.82,5.82,20.78,122.53
-10.64,11.27,8.67,17.76,133.34
-6.45,9.82,11.63,16.53,123.32
-9.09,5.55,11.02,15.32,148.62
-9,-1.45,10.61,13.99,189.18
-9.09,-3.18,10.31,14.11,199.29
-9.82,-5.64,9.18,14.58,209.86
-9.18,-6.36,9.59,14.72,214.72
-7.45,-7,10.31,14.52,223.2
-11.18,-11.18,5.92,16.88,225
-9.64,-13.36,5.51,17.37,234.21
-7.64,-19.73,2.45,21.29,248.84
-5.09,-25.27,-2.35,25.89,258.61
-3.55,-28.64,-6.12,29.5,262.94
-3.09,-29.55,-8.47,30.89,264.03
-7.18,-28.73,-9.49,31.09,255.96
-9.55,-26.27,-7.55,28.95,250.03
-8.36,-27.27,-7.65,29.54,252.95
-8.45,-27.18,-7.86,29.53,252.72
-8.91,-29.45,-14.69,34.1,253.17
-9.91,-30.36,-23.16,39.45,251.93
-9.36,-30.18,-30.92,44.21,252.76
-11.09,-26.82,-36.43,46.58,247.53
-14.36,-18.18,-43.47,49.26,231.69
-15,-15,-44.9,49.66,225
-12.64,-10.55,-48.88,51.57,219.85
-11.55,-5.18,-50.61,52.17,204.17
-11.73,0.64,-49.9,51.26,176.89
-11.18,6.64,-48.67,50.38,149.31
-11.27,9.64,-47.45,49.71,139.47
-10.36,14.45,-44.8,48.2,125.64
-8.91,18.09,-42.76,47.27,116.22
-8.45,19.91,-41.22,46.55,113.01
-7.55,22,-39.39,45.74,108.93
-8.73,19.73,-41.12,46.44,113.86
-10.55,10.09,-47.76,49.94,136.26
-11.45,0.64,-50.51,51.8,176.82
-8.64,-14.73,-51.02,53.8,239.61
-4.82,-26.82,-44.29,52,259.81
-2.18,-33.18,-35,48.28,266.24
-2.27,-35,-23.06,41.98,266.28
-8.18,-30.18,-12.45,33.66,254.83
-13,-22.82,-4.49,26.64,240.33
-14.82,-14.27,1.43,20.62,223.93
-15.64,-7.73,4.59,18.04,206.3
-13.45,-5.64,7.04,16.2,202.73
-13.36,-3,7.65,15.69,192.65
-14.45,1.73,7.65,16.45,173.19
-13.82,7.55,7.55,17.46,151.36
-13.73,12.55,6.12,19.58,137.58
-15.18,18.91,0,24.25,128.76
-16.27,20.45,-4.29,26.49,128.5
-16,21.64,-5.92,27.55,126.48
-17.64,22.55,-12.86,31.38,128.03
-19,21.82,-17.76,33.95,131.05
-18,22.18,-23.47,36.97,129.06
-16.64,22.45,-25.92,38.11,126.53
-18.09,20.45,-27.76,38.94,131.49
-17.73,19.45,-31.43,40.99,132.34
-17.27,18.55,-33.06,41.66,132.96
-22.27,-0.36,-39.39,45.25,180.94
-20.27,-6.09,-42.14,47.16,196.72
-21.82,-3.55,-40.51,46.15,189.23
-21.27,3.91,-39.8,45.29,169.59
